City_ID,City,Country,Max Temp,Current Description,Rain (inches),Snow (inches),Lat,Lng,Hotel Name
259,Talavera De La Reina,ES,73.4,clear sky,0.0,0,39.96,-4.83,Be Live City Center Talavera
260,Chokurdakh,RU,83.89,clear sky,0.0,0,70.63,147.92,
261,Bogalusa,US,91.4,scattered clouds,0.0,0,30.79,-89.85,Traveler's Rest Motel
262,Kaiyuan,CN,68.5,broken clouds,0.0,0,23.7,103.3,Dongqi Hotel
264,Gunjur,GM,80.15,scattered clouds,0.0,0,13.2,-16.73,Kuba Lodge
266,Najran,SA,86.0,overcast clouds,0.0,0,17.49,44.13,محمد هادي ال فطيح
267,Filingue,NE,98.78,scattered clouds,0.0,0,14.35,3.32,
268,Fort-Shevchenko,KZ,85.96,overcast clouds,0.0,0,44.51,50.26,Oasis hotel Bautino
275,Limbang,MY,77.0,broken clouds,0.0,0,4.75,115.0,Purnama Hotel
281,Namibe,AO,70.99,clear sky,0.0,0,-15.2,12.15,Hotel Chik Chik Namibe
282,Hirara,JP,83.7,few clouds,0.0,0,24.8,125.28,Hotel Atoll Emerald Miyakojima
283,Saurimo,AO,60.04,clear sky,0.0,0,-9.66,20.39,Hotel Kawissa Saurimo
284,Kango,GA,73.42,broken clouds,0.0,0,0.19,10.1,Le Flamboyant du Como
285,Naze,JP,80.6,light rain,0.0,0,28.37,129.48,奄美ポートタワーホテル
286,Sri Aman,MY,73.4,broken clouds,0.0,0,1.24,111.46,Seri Simanggang Hotel
289,Forest Grove,US,68.0,overcast clouds,0.0,0,45.52,-123.11,McMenamins Grand Lodge
290,Esna,EG,91.4,clear sky,0.0,0,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
291,Bhum,IN,75.79,overcast clouds,0.0,0,18.47,75.67,धनंजय होम
292,Maragogi,BR,76.28,clear sky,0.0,0,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
295,Hasaki,JP,68.0,broken clouds,0.0,0,35.73,140.83,Inubosaki Kanko Hotel
299,Hay River,CA,84.2,few clouds,0.0,0,60.82,-115.8,Ptarmigan Inn Hotels
300,Villarrica,PY,76.06,clear sky,0.0,0,-25.75,-56.43,Mansión Reljuv Tours SA
301,Belle Fourche,US,73.99,overcast clouds,0.0,0,44.67,-103.85,Kings Inn
302,Penukonda,IN,76.98,broken clouds,0.0,0,14.08,77.58,The Hotel Spider
303,Katherine,AU,60.8,clear sky,0.0,0,-14.47,132.27,Pine Tree Motel
304,Tiznit,MA,67.46,clear sky,0.0,0,29.58,-9.5,
306,Livingston,GB,61.0,few clouds,0.0,0,55.9,-3.52,Mercure Livingston Hotel
308,Makat,KZ,81.93,broken clouds,0.0,0,47.65,53.35,Gostinitsa Daulet
309,Potam,MX,106.0,clear sky,0.0,0,27.6,-110.38,Ejido La Pimienta
310,Tocopilla,CL,65.71,few clouds,0.0,0,-22.09,-70.2,Hotel Galvarino
312,Yangambi,CD,72.73,broken clouds,0.0,0,0.81,24.43,
313,Ust-Nera,RU,70.29,clear sky,0.0,0,64.57,143.2,Hotel Ust-Nera
315,Mangaldai,IN,86.0,mist,0.0,0,26.43,92.03,Hotel Siddarth Palace
316,Vao,NC,67.68,scattered clouds,0.0,0,-22.67,167.48,Hotel Kou-Bugny
317,San Cristobal,VE,86.0,scattered clouds,0.0,0,7.77,-72.22,Pirineos
319,Wiang Sa,TH,76.1,overcast clouds,0.0,0,8.64,99.37,ชำนาญอินน์
320,Mahebourg,MU,71.6,scattered clouds,0.0,0,-20.41,57.7,Shandrani Beachcomber Resort & Spa
323,Morrinhos,BR,70.34,clear sky,0.0,0,-17.73,-49.1,Hotel Águia
324,Laureles,US,91.99,scattered clouds,0.0,0,26.11,-97.49,Los Fresnos Inn
325,Pemangkat,ID,78.94,overcast clouds,0.0,0,1.17,108.97,Kost H.Syamsuddin
326,San Patricio,MX,87.8,scattered clouds,0.0,0,19.22,-104.7,Hotel Cabo Blanco
328,Kununurra,AU,60.8,clear sky,0.0,0,-15.77,128.73,Hotel Kununurra
329,Khani,GE,62.6,broken clouds,0.0,0,41.96,42.96,კურორტი ზეკარი/Resort Zekari
330,Shitanjing,CN,75.99,overcast clouds,0.0,0,39.23,106.34,
331,Cabo San Lucas,MX,89.6,clear sky,0.0,0,22.89,-109.91,Hotel Tesoro Los Cabos
333,Katobu,ID,74.3,broken clouds,0.0,0,-4.94,122.53,La Ode Husein
334,Kirakira,SB,80.19,overcast clouds,0.0,0,-10.45,161.92,SanBiz Lodge
335,Trabzon,TR,71.6,broken clouds,0.0,0,40.92,39.83,SANDALS HOTEL
336,Cody,US,75.0,broken clouds,0.0,0,44.53,-109.06,Buffalo Bill (Cabins) Village
337,Latung,PH,83.57,overcast clouds,0.0,0,5.5,120.88,
338,Eyl,SO,81.45,overcast clouds,0.0,0,7.98,49.82,Amiin Hotel
