City_ID,City,Country,Max Temp,Current Description,Humidity,Cloudiness,Rain (inches),Snow (inches),Wind Speed,Lat,Lng
166,Ranong,TH,80.35,light rain,84,98,0.2,0,6.2,9.97,98.63
167,Timra,SE,59.0,overcast clouds,58,97,0.0,0,4.7,62.49,17.33
168,Inuvik,CA,50.0,broken clouds,76,75,0.0,0,8.05,68.35,-133.72
169,Stonehaven,GB,61.0,few clouds,87,13,0.0,0,12.75,56.96,-2.21
170,Pringsewu,ID,71.74,few clouds,91,13,0.0,0,1.72,-5.36,104.97
171,Gannan,CN,61.34,clear sky,93,1,0.0,0,4.07,47.91,123.5
172,Clermont,FR,62.6,scattered clouds,72,48,0.0,0,4.45,49.5,2.42
173,Ostrovnoy,RU,41.2,overcast clouds,87,95,0.0,0,9.78,68.05,39.51
174,Milot,HT,84.09,light rain,72,17,0.33,0,8.12,19.62,-72.22
175,Sillod,IN,77.81,overcast clouds,76,100,0.0,0,7.99,20.3,75.65
176,Ekpoma,NG,71.13,clear sky,100,6,0.0,0,5.99,6.74,6.14
177,Buraydah,SA,89.6,clear sky,25,0,0.0,0,11.41,26.33,43.98
178,Hofn,IS,51.66,scattered clouds,89,42,0.0,0,7.23,64.25,-15.21
179,Chunskiy,RU,54.03,clear sky,92,0,0.0,0,1.95,56.08,99.63
180,Port Elizabeth,ZA,59.0,broken clouds,93,68,0.0,0,5.82,-33.92,25.57
181,Babushkin,RU,52.2,broken clouds,77,51,0.0,0,4.05,51.71,105.86
182,Itarema,BR,78.39,light rain,83,5,0.16,0,12.1,-2.92,-39.92
183,Corn Island,NI,82.45,moderate rain,79,100,1.88,0,19.22,12.17,-83.04
184,Harper,LR,78.17,overcast clouds,81,100,0.0,0,6.85,4.38,-7.72
185,Akalkot,IN,77.97,moderate rain,79,100,2.63,0,13.96,17.53,76.22
186,Srednekolymsk,RU,82.4,clear sky,33,2,0.0,0,9.62,67.45,153.68
187,Cookeville,US,87.8,clear sky,43,1,0.0,0,3.36,36.16,-85.5
188,Bloomington,US,73.99,overcast clouds,64,90,0.0,0,3.36,44.84,-93.3
189,Metro,ID,73.65,scattered clouds,90,40,0.0,0,4.41,-5.11,105.31
190,Mackay,AU,60.8,overcast clouds,93,90,0.0,0,8.05,-21.15,149.2
191,Pytalovo,RU,61.52,clear sky,86,0,0.0,0,9.26,57.07,27.91
192,La Ronge,CA,53.6,broken clouds,62,75,0.0,0,5.82,55.1,-105.28
193,Shangrao,CN,71.28,overcast clouds,93,95,0.0,0,3.56,28.45,117.97
194,Vanimo,PG,78.21,broken clouds,82,74,0.0,0,5.01,-2.67,141.3
195,Mitu,CO,79.11,moderate rain,93,85,1.85,0,3.31,1.2,-70.17
196,Kruisfontein,ZA,57.7,overcast clouds,87,99,0.0,0,3.65,-34.0,24.73
197,Kodiak,US,51.8,overcast clouds,87,90,0.0,0,10.29,57.79,-152.41
198,San Isidro,PE,64.4,overcast clouds,77,90,0.0,0,8.05,-12.12,-77.05
199,Halifax,CA,89.01,light rain,46,7,0.3,0,4.41,44.65,-63.57
200,Shakiso,ET,58.14,scattered clouds,94,50,0.0,0,1.88,5.75,38.92
201,Luneville,FR,62.6,clear sky,87,7,0.0,0,1.19,48.6,6.5
202,Novo Aripuana,BR,86.0,overcast clouds,61,96,0.0,0,2.19,-5.12,-60.38
203,Puerto Colombia,CO,89.6,broken clouds,70,75,0.0,0,12.75,10.99,-74.95
204,College,US,71.01,broken clouds,52,75,0.0,0,5.82,64.86,-147.8
205,Broken Hill,AU,46.4,clear sky,70,9,0.0,0,18.34,-31.95,141.43
206,Bundaberg,AU,61.0,light intensity drizzle,100,90,0.0,0,13.87,-24.85,152.35
207,Belmonte,BR,77.0,clear sky,65,8,0.0,0,5.82,-15.86,-38.88
208,Saint-Augustin,CA,52.41,broken clouds,64,74,0.0,0,11.1,51.23,-58.65
209,Mehamn,NO,45.3,clear sky,76,0,0.0,0,0.51,71.04,27.85
210,Ombessa,CM,70.25,moderate rain,99,100,1.17,0,3.87,4.6,11.26
211,San Quintin,MX,68.09,clear sky,63,0,0.0,0,14.47,30.48,-115.95
212,Yulara,AU,37.4,clear sky,51,0,0.0,0,6.93,-25.24,130.99
213,Bartica,GY,87.8,few clouds,62,20,0.0,0,11.41,6.4,-58.62
214,Vila Velha,BR,77.0,clear sky,78,0,0.0,0,12.75,-20.33,-40.29
215,Charters Towers,AU,62.73,overcast clouds,86,100,0.0,0,6.73,-20.1,146.27
216,Jalu,LY,92.46,clear sky,12,0,0.0,0,4.81,29.03,21.55
217,Micheweni,TZ,77.68,broken clouds,74,77,0.0,0,15.43,-4.97,39.83
218,Malanje,AO,61.02,clear sky,33,0,0.0,0,3.18,-9.54,16.34
219,Lakatoro,VU,75.2,scattered clouds,94,40,0.0,0,3.36,-16.1,167.42
220,Mumbwa,ZM,51.85,clear sky,77,0,0.0,0,5.35,-14.98,27.06
221,Ugoofaaru,MV,83.64,overcast clouds,78,100,0.0,0,14.18,5.67,73.0
222,Haines Junction,CA,62.49,broken clouds,49,84,0.0,0,8.28,60.75,-137.51
223,Sao Filipe,CV,74.57,few clouds,81,16,0.0,0,6.71,14.9,-24.5
224,Tehachapi,US,84.2,clear sky,20,1,0.0,0,13.87,35.13,-118.45
225,Alta Floresta,BR,91.4,few clouds,38,20,0.0,0,3.36,-9.88,-56.09
226,Sioux Lookout,CA,71.6,broken clouds,37,75,0.0,0,8.05,50.1,-91.92
227,Dahuk,IQ,70.36,clear sky,41,1,0.0,0,3.11,36.87,42.99
228,Shumskiy,RU,52.81,broken clouds,89,66,0.0,0,1.81,54.83,99.13
229,Ilulissat,GL,46.4,clear sky,45,5,0.0,0,4.7,69.22,-51.1
230,Sorland,NO,57.74,clear sky,66,0,0.0,0,9.57,67.67,12.69
231,Chapais,CA,84.2,overcast clouds,48,90,0.0,0,3.36,49.78,-74.85
232,Grindavik,IS,53.6,broken clouds,81,75,0.0,0,21.92,63.84,-22.43
233,Savannah Bight,HN,83.14,overcast clouds,78,100,0.0,0,21.83,16.45,-85.85
234,Palora,EC,68.0,light intensity drizzle,100,75,0.0,0,4.7,-1.7,-77.93
235,Le Vauclin,MQ,86.0,overcast clouds,74,90,0.0,0,14.99,14.55,-60.84
236,Fairbanks,US,71.01,broken clouds,52,75,0.0,0,5.82,64.84,-147.72
237,Awbari,LY,87.84,clear sky,12,0,0.0,0,6.13,26.59,12.78
238,Salinopolis,BR,80.11,clear sky,85,6,0.0,0,10.96,-0.61,-47.36
239,Cairns,AU,70.0,light intensity shower rain,94,75,0.25,0,10.29,-16.92,145.77
240,Golovino,RU,56.82,clear sky,70,1,0.0,0,8.3,55.96,40.43
241,Bettiah,IN,83.32,light rain,77,96,0.66,0,9.28,26.8,84.5
242,Lamar,US,86.0,broken clouds,58,75,0.0,0,11.41,33.67,-95.58
243,Namatanai,PG,81.12,broken clouds,75,56,0.0,0,1.77,-3.67,152.43
244,Berlevag,NO,43.66,clear sky,82,3,0.0,0,0.85,70.86,29.09
245,Verkhnyaya Tura,RU,40.95,clear sky,73,0,0.0,0,7.49,58.36,59.82
246,Alamosa,US,75.2,clear sky,8,1,0.0,0,2.15,37.47,-105.87
247,Qaqortoq,GL,55.4,broken clouds,35,75,0.0,0,5.82,60.72,-46.03
248,Purpe,RU,43.0,scattered clouds,85,31,0.0,0,15.73,64.48,76.69
249,Quatis,BR,69.19,clear sky,81,0,0.0,0,0.96,-22.41,-44.26
250,Hovd,MN,59.81,clear sky,36,0,0.0,0,9.19,48.01,91.64
251,Belyy Yar,RU,51.8,scattered clouds,81,40,0.0,0,8.95,53.6,91.39
252,Kerrville,US,91.4,clear sky,46,1,0.0,0,12.75,30.05,-99.14
253,Saint Anthony,US,73.99,light rain,53,90,0.25,0,5.82,45.02,-93.22
